run_id,hk1,cal_flux
402,   2.575758E-01,   1.484848E-01
403,   2.575758E-01,   1.727273E-01
404,   2.575758E-01,   1.969697E-01
405,   2.575758E-01,   2.212121E-01
406,   2.575758E-01,   2.454545E-01
407,   2.575758E-01,   2.696970E-01
408,   2.575758E-01,   2.939394E-01
409,   2.575758E-01,   3.181818E-01
410,   2.575758E-01,   3.424242E-01
411,   2.575758E-01,   3.666667E-01
412,   2.575758E-01,   3.909091E-01
413,   2.575758E-01,   4.151515E-01
414,   2.575758E-01,   4.393939E-01
415,   2.575758E-01,   4.636364E-01
416,   2.575758E-01,   4.878788E-01
417,   2.575758E-01,   5.121212E-01
418,   2.575758E-01,   5.363636E-01
419,   2.575758E-01,   5.606061E-01
420,   2.575758E-01,   5.848485E-01
421,   2.575758E-01,   6.090909E-01
422,   2.575758E-01,   6.333333E-01
423,   2.575758E-01,   6.575758E-01
424,   2.575758E-01,   6.818182E-01
425,   2.575758E-01,   7.060606E-01
426,   2.575758E-01,   7.303030E-01
427,   2.575758E-01,   7.545455E-01
428,   2.575758E-01,   7.787879E-01
429,   2.575758E-01,   8.030303E-01
430,   2.575758E-01,   8.272727E-01
431,   2.575758E-01,   8.515152E-01
432,   2.575758E-01,   8.757576E-01
433,   2.575758E-01,   9.000000E-01
434,   2.575758E-01,   9.242424E-01
435,   2.575758E-01,   9.484848E-01
436,   2.575758E-01,   9.727273E-01
437,   2.575758E-01,   9.969697E-01
438,   2.575758E-01,   1.021212E+00
439,   2.575758E-01,   1.045455E+00
440,   2.575758E-01,   1.069697E+00
441,   2.575758E-01,   1.093939E+00
442,   2.575758E-01,   1.118182E+00
443,   2.575758E-01,   1.142424E+00
444,   2.575758E-01,   1.166667E+00
445,   2.575758E-01,   1.190909E+00
446,   2.575758E-01,   1.215152E+00
447,   2.575758E-01,   1.239394E+00
448,   2.575758E-01,   1.263636E+00
449,   2.575758E-01,   1.287879E+00
450,   2.575758E-01,   1.312121E+00
451,   2.575758E-01,   1.336364E+00
452,   2.575758E-01,   1.360606E+00
453,   2.575758E-01,   1.384848E+00
454,   2.575758E-01,   1.409091E+00
455,   2.575758E-01,   1.433333E+00
456,   2.575758E-01,   1.457576E+00
457,   2.575758E-01,   1.481818E+00
458,   2.575758E-01,   1.506061E+00
459,   2.575758E-01,   1.530303E+00
460,   2.575758E-01,   1.554545E+00
461,   2.575758E-01,   1.578788E+00
462,   2.575758E-01,   1.603030E+00
463,   2.575758E-01,   1.627273E+00
464,   2.575758E-01,   1.651515E+00
465,   2.575758E-01,   1.675758E+00
466,   2.575758E-01,   1.700000E+00
467,   2.575758E-01,   1.724242E+00
468,   2.575758E-01,   1.748485E+00
469,   2.575758E-01,   1.772727E+00
470,   2.575758E-01,   1.796970E+00
471,   2.575758E-01,   1.821212E+00
472,   2.575758E-01,   1.845455E+00
473,   2.575758E-01,   1.869697E+00
474,   2.575758E-01,   1.893939E+00
475,   2.575758E-01,   1.918182E+00
476,   2.575758E-01,   1.942424E+00
477,   2.575758E-01,   1.966667E+00
478,   2.575758E-01,   1.990909E+00
479,   2.575758E-01,   2.015152E+00
480,   2.575758E-01,   2.039394E+00
481,   2.575758E-01,   2.063636E+00
482,   2.575758E-01,   2.087879E+00
483,   2.575758E-01,   2.112121E+00
484,   2.575758E-01,   2.136364E+00
485,   2.575758E-01,   2.160606E+00
486,   2.575758E-01,   2.184848E+00
487,   2.575758E-01,   2.209091E+00
488,   2.575758E-01,   2.233333E+00
489,   2.575758E-01,   2.257576E+00
490,   2.575758E-01,   2.281818E+00
491,   2.575758E-01,   2.306061E+00
492,   2.575758E-01,   2.330303E+00
493,   2.575758E-01,   2.354545E+00
494,   2.575758E-01,   2.378788E+00
495,   2.575758E-01,   2.403030E+00
496,   2.575758E-01,   2.427273E+00
497,   2.575758E-01,   2.451515E+00
498,   2.575758E-01,   2.475758E+00
499,   2.575758E-01,   2.500000E+00
500,   2.969697E-01,   1.000000E-01
501,   2.969697E-01,   1.242424E-01
502,   2.969697E-01,   1.484848E-01
503,   2.969697E-01,   1.727273E-01
504,   2.969697E-01,   1.969697E-01
505,   2.969697E-01,   2.212121E-01
506,   2.969697E-01,   2.454545E-01
507,   2.969697E-01,   2.696970E-01
508,   2.969697E-01,   2.939394E-01
509,   2.969697E-01,   3.181818E-01
510,   2.969697E-01,   3.424242E-01
511,   2.969697E-01,   3.666667E-01
512,   2.969697E-01,   3.909091E-01
513,   2.969697E-01,   4.151515E-01
514,   2.969697E-01,   4.393939E-01
515,   2.969697E-01,   4.636364E-01
516,   2.969697E-01,   4.878788E-01
517,   2.969697E-01,   5.121212E-01
518,   2.969697E-01,   5.363636E-01
519,   2.969697E-01,   5.606061E-01
520,   2.969697E-01,   5.848485E-01
521,   2.969697E-01,   6.090909E-01
522,   2.969697E-01,   6.333333E-01
523,   2.969697E-01,   6.575758E-01
524,   2.969697E-01,   6.818182E-01
525,   2.969697E-01,   7.060606E-01
526,   2.969697E-01,   7.303030E-01
527,   2.969697E-01,   7.545455E-01
528,   2.969697E-01,   7.787879E-01
529,   2.969697E-01,   8.030303E-01
530,   2.969697E-01,   8.272727E-01
531,   2.969697E-01,   8.515152E-01
532,   2.969697E-01,   8.757576E-01
533,   2.969697E-01,   9.000000E-01
534,   2.969697E-01,   9.242424E-01
535,   2.969697E-01,   9.484848E-01
536,   2.969697E-01,   9.727273E-01
537,   2.969697E-01,   9.969697E-01
538,   2.969697E-01,   1.021212E+00
539,   2.969697E-01,   1.045455E+00
540,   2.969697E-01,   1.069697E+00
541,   2.969697E-01,   1.093939E+00
542,   2.969697E-01,   1.118182E+00
543,   2.969697E-01,   1.142424E+00
544,   2.969697E-01,   1.166667E+00
545,   2.969697E-01,   1.190909E+00
546,   2.969697E-01,   1.215152E+00
547,   2.969697E-01,   1.239394E+00
548,   2.969697E-01,   1.263636E+00
549,   2.969697E-01,   1.287879E+00
550,   2.969697E-01,   1.312121E+00
551,   2.969697E-01,   1.336364E+00
552,   2.969697E-01,   1.360606E+00
553,   2.969697E-01,   1.384848E+00
554,   2.969697E-01,   1.409091E+00
555,   2.969697E-01,   1.433333E+00
556,   2.969697E-01,   1.457576E+00
557,   2.969697E-01,   1.481818E+00
558,   2.969697E-01,   1.506061E+00
559,   2.969697E-01,   1.530303E+00
560,   2.969697E-01,   1.554545E+00
561,   2.969697E-01,   1.578788E+00
562,   2.969697E-01,   1.603030E+00
563,   2.969697E-01,   1.627273E+00
564,   2.969697E-01,   1.651515E+00
565,   2.969697E-01,   1.675758E+00
566,   2.969697E-01,   1.700000E+00
567,   2.969697E-01,   1.724242E+00
568,   2.969697E-01,   1.748485E+00
569,   2.969697E-01,   1.772727E+00
570,   2.969697E-01,   1.796970E+00
571,   2.969697E-01,   1.821212E+00
572,   2.969697E-01,   1.845455E+00
573,   2.969697E-01,   1.869697E+00
574,   2.969697E-01,   1.893939E+00
575,   2.969697E-01,   1.918182E+00
576,   2.969697E-01,   1.942424E+00
577,   2.969697E-01,   1.966667E+00
578,   2.969697E-01,   1.990909E+00
579,   2.969697E-01,   2.015152E+00
580,   2.969697E-01,   2.039394E+00
581,   2.969697E-01,   2.063636E+00
582,   2.969697E-01,   2.087879E+00
583,   2.969697E-01,   2.112121E+00
584,   2.969697E-01,   2.136364E+00
585,   2.969697E-01,   2.160606E+00
586,   2.969697E-01,   2.184848E+00
587,   2.969697E-01,   2.209091E+00
588,   2.969697E-01,   2.233333E+00
589,   2.969697E-01,   2.257576E+00
590,   2.969697E-01,   2.281818E+00
591,   2.969697E-01,   2.306061E+00
592,   2.969697E-01,   2.330303E+00
593,   2.969697E-01,   2.354545E+00
594,   2.969697E-01,   2.378788E+00
595,   2.969697E-01,   2.403030E+00
596,   2.969697E-01,   2.427273E+00
597,   2.969697E-01,   2.451515E+00
598,   2.969697E-01,   2.475758E+00
599,   2.969697E-01,   2.500000E+00
600,   3.363636E-01,   1.000000E-01
601,   3.363636E-01,   1.242424E-01
602,   3.363636E-01,   1.484848E-01
603,   3.363636E-01,   1.727273E-01
604,   3.363636E-01,   1.969697E-01
605,   3.363636E-01,   2.212121E-01
606,   3.363636E-01,   2.454545E-01
607,   3.363636E-01,   2.696970E-01
608,   3.363636E-01,   2.939394E-01
609,   3.363636E-01,   3.181818E-01
610,   3.363636E-01,   3.424242E-01
611,   3.363636E-01,   3.666667E-01
612,   3.363636E-01,   3.909091E-01
613,   3.363636E-01,   4.151515E-01
614,   3.363636E-01,   4.393939E-01
615,   3.363636E-01,   4.636364E-01
616,   3.363636E-01,   4.878788E-01
617,   3.363636E-01,   5.121212E-01
618,   3.363636E-01,   5.363636E-01
619,   3.363636E-01,   5.606061E-01
620,   3.363636E-01,   5.848485E-01
621,   3.363636E-01,   6.090909E-01
622,   3.363636E-01,   6.333333E-01
623,   3.363636E-01,   6.575758E-01
624,   3.363636E-01,   6.818182E-01
625,   3.363636E-01,   7.060606E-01
626,   3.363636E-01,   7.303030E-01
627,   3.363636E-01,   7.545455E-01
628,   3.363636E-01,   7.787879E-01
629,   3.363636E-01,   8.030303E-01
630,   3.363636E-01,   8.272727E-01
631,   3.363636E-01,   8.515152E-01
632,   3.363636E-01,   8.757576E-01
633,   3.363636E-01,   9.000000E-01
634,   3.363636E-01,   9.242424E-01
635,   3.363636E-01,   9.484848E-01
636,   3.363636E-01,   9.727273E-01
637,   3.363636E-01,   9.969697E-01
638,   3.363636E-01,   1.021212E+00
639,   3.363636E-01,   1.045455E+00
640,   3.363636E-01,   1.069697E+00
641,   3.363636E-01,   1.093939E+00
642,   3.363636E-01,   1.118182E+00
643,   3.363636E-01,   1.142424E+00
644,   3.363636E-01,   1.166667E+00
645,   3.363636E-01,   1.190909E+00
646,   3.363636E-01,   1.215152E+00
647,   3.363636E-01,   1.239394E+00
648,   3.363636E-01,   1.263636E+00
649,   3.363636E-01,   1.287879E+00
650,   3.363636E-01,   1.312121E+00
651,   3.363636E-01,   1.336364E+00
652,   3.363636E-01,   1.360606E+00
653,   3.363636E-01,   1.384848E+00
654,   3.363636E-01,   1.409091E+00
655,   3.363636E-01,   1.433333E+00
656,   3.363636E-01,   1.457576E+00
657,   3.363636E-01,   1.481818E+00
658,   3.363636E-01,   1.506061E+00
659,   3.363636E-01,   1.530303E+00
660,   3.363636E-01,   1.554545E+00
661,   3.363636E-01,   1.578788E+00
662,   3.363636E-01,   1.603030E+00
663,   3.363636E-01,   1.627273E+00
664,   3.363636E-01,   1.651515E+00
665,   3.363636E-01,   1.675758E+00
666,   3.363636E-01,   1.700000E+00
667,   3.363636E-01,   1.724242E+00
668,   3.363636E-01,   1.748485E+00
669,   3.363636E-01,   1.772727E+00
670,   3.363636E-01,   1.796970E+00
671,   3.363636E-01,   1.821212E+00
672,   3.363636E-01,   1.845455E+00
673,   3.363636E-01,   1.869697E+00
674,   3.363636E-01,   1.893939E+00
675,   3.363636E-01,   1.918182E+00
676,   3.363636E-01,   1.942424E+00
677,   3.363636E-01,   1.966667E+00
678,   3.363636E-01,   1.990909E+00
679,   3.363636E-01,   2.015152E+00
680,   3.363636E-01,   2.039394E+00
681,   3.363636E-01,   2.063636E+00
682,   3.363636E-01,   2.087879E+00
683,   3.363636E-01,   2.112121E+00
684,   3.363636E-01,   2.136364E+00
685,   3.363636E-01,   2.160606E+00
686,   3.363636E-01,   2.184848E+00
687,   3.363636E-01,   2.209091E+00
688,   3.363636E-01,   2.233333E+00
689,   3.363636E-01,   2.257576E+00
690,   3.363636E-01,   2.281818E+00
691,   3.363636E-01,   2.306061E+00
692,   3.363636E-01,   2.330303E+00
693,   3.363636E-01,   2.354545E+00
694,   3.363636E-01,   2.378788E+00
695,   3.363636E-01,   2.403030E+00
696,   3.363636E-01,   2.427273E+00
