site,datetime,value
trgw_002_009,2017-10-28,37.10810188178621
trgw_002_009,2017-10-29,37.655837128879895
trgw_002_009,2017-10-30,37.41601648253506
trgw_002_009,2017-10-31,37.40548185274418
trgw_002_009,2017-11-01,37.678824135755896
trgw_002_009,2017-11-02,37.22823342455496
trgw_002_009,2017-11-03,37.90035972856408
trgw_002_009,2017-11-04,37.41325159165236
trgw_002_009,2017-11-05,37.403802811323025
trgw_002_009,2017-11-06,37.72123194863343
trgw_002_009,2017-11-07,37.657356054622085
trgw_002_009,2017-11-08,38.01531994381501
trgw_002_009,2017-11-09,37.4809028032737
trgw_002_009,2017-11-10,37.49624867226712
trgw_002_009,2017-11-11,37.223389804007354
trgw_002_009,2017-11-12,37.45147954453023
trgw_002_009,2017-11-13,37.372093740885646
trgw_002_009,2017-11-14,37.4470695973789
trgw_002_009,2017-11-15,37.19209844868921
trgw_002_009,2017-11-16,37.87151151197891
trgw_002_009,2017-11-17,37.27516930351487
trgw_002_009,2017-11-18,37.01109644032166
trgw_002_009,2017-11-19,37.33683511568339
trgw_002_009,2017-11-20,37.455610089440775
trgw_002_009,2017-11-21,37.362719187348574
trgw_002_009,2017-11-22,37.8095157081465
trgw_002_009,2017-11-23,37.56096716428078
trgw_002_009,2017-11-24,37.59093112088129
trgw_002_009,2017-11-25,37.705538352861076
trgw_002_009,2017-11-26,37.64093250539562
trgw_002_009,2017-11-27,37.77796345948921
trgw_002_009,2017-11-28,37.36696448927277
trgw_002_009,2017-11-29,37.477479379864114
trgw_002_009,2017-11-30,37.71832642921391
trgw_002_009,2017-12-01,37.08190910758315
trgw_002_009,2017-12-02,37.31387310413655
trgw_002_009,2017-12-03,37.696820446435986
trgw_002_009,2017-12-04,37.49759719300101
trgw_002_009,2017-12-05,37.78259651002194
trgw_002_009,2017-12-06,37.76468005937063
trgw_002_009,2017-12-07,37.418115423961794
trgw_002_009,2017-12-08,37.73646741749337
trgw_002_009,2017-12-09,37.9105555711335
trgw_002_009,2017-12-10,37.69991688033019
