run_id,hk1,cal_flux,fore_flux
278,   4.979592E-01,   1.471429E+00,1.0
279,   4.979592E-01,   1.520408E+00,1.0
280,   4.979592E-01,   1.569388E+00,1.0
281,   4.979592E-01,   1.618367E+00,1.0
282,   4.979592E-01,   1.667347E+00,1.0
283,   4.979592E-01,   1.716327E+00,1.0
284,   4.979592E-01,   1.765306E+00,1.0
285,   4.979592E-01,   1.814286E+00,1.0
286,   4.979592E-01,   1.863265E+00,1.0
287,   4.979592E-01,   1.912245E+00,1.0
288,   4.979592E-01,   1.961224E+00,1.0
289,   4.979592E-01,   2.010204E+00,1.0
290,   4.979592E-01,   2.059184E+00,1.0
291,   4.979592E-01,   2.108163E+00,1.0
292,   4.979592E-01,   2.157143E+00,1.0
293,   4.979592E-01,   2.206122E+00,1.0
294,   4.979592E-01,   2.255102E+00,1.0
295,   4.979592E-01,   2.304082E+00,1.0
296,   4.979592E-01,   2.353061E+00,1.0
297,   4.979592E-01,   2.402041E+00,1.0
298,   4.979592E-01,   2.451020E+00,1.0
299,   4.979592E-01,   2.500000E+00,1.0
300,   5.775510E-01,   1.000000E-01,1.0
301,   5.775510E-01,   1.489796E-01,1.0
302,   5.775510E-01,   1.979592E-01,1.0
303,   5.775510E-01,   2.469388E-01,1.0
304,   5.775510E-01,   2.959184E-01,1.0
305,   5.775510E-01,   3.448980E-01,1.0
306,   5.775510E-01,   3.938776E-01,1.0
307,   5.775510E-01,   4.428571E-01,1.0
308,   5.775510E-01,   4.918367E-01,1.0
309,   5.775510E-01,   5.408163E-01,1.0
310,   5.775510E-01,   5.897959E-01,1.0
311,   5.775510E-01,   6.387755E-01,1.0
312,   5.775510E-01,   6.877551E-01,1.0
313,   5.775510E-01,   7.367347E-01,1.0
314,   5.775510E-01,   7.857143E-01,1.0
315,   5.775510E-01,   8.346939E-01,1.0
316,   5.775510E-01,   8.836735E-01,1.0
317,   5.775510E-01,   9.326531E-01,1.0
318,   5.775510E-01,   9.816327E-01,1.0
319,   5.775510E-01,   1.030612E+00,1.0
320,   5.775510E-01,   1.079592E+00,1.0
321,   5.775510E-01,   1.128571E+00,1.0
322,   5.775510E-01,   1.177551E+00,1.0
323,   5.775510E-01,   1.226531E+00,1.0
324,   5.775510E-01,   1.275510E+00,1.0
325,   5.775510E-01,   1.324490E+00,1.0
326,   5.775510E-01,   1.373469E+00,1.0
327,   5.775510E-01,   1.422449E+00,1.0
328,   5.775510E-01,   1.471429E+00,1.0
329,   5.775510E-01,   1.520408E+00,1.0
330,   5.775510E-01,   1.569388E+00,1.0
331,   5.775510E-01,   1.618367E+00,1.0
332,   5.775510E-01,   1.667347E+00,1.0
333,   5.775510E-01,   1.716327E+00,1.0
334,   5.775510E-01,   1.765306E+00,1.0
335,   5.775510E-01,   1.814286E+00,1.0
336,   5.775510E-01,   1.863265E+00,1.0
337,   5.775510E-01,   1.912245E+00,1.0
338,   5.775510E-01,   1.961224E+00,1.0
339,   5.775510E-01,   2.010204E+00,1.0
340,   5.775510E-01,   2.059184E+00,1.0
341,   5.775510E-01,   2.108163E+00,1.0
342,   5.775510E-01,   2.157143E+00,1.0
343,   5.775510E-01,   2.206122E+00,1.0
344,   5.775510E-01,   2.255102E+00,1.0
345,   5.775510E-01,   2.304082E+00,1.0
346,   5.775510E-01,   2.353061E+00,1.0
347,   5.775510E-01,   2.402041E+00,1.0
348,   5.775510E-01,   2.451020E+00,1.0
349,   5.775510E-01,   2.500000E+00,1.0
350,   6.571429E-01,   1.000000E-01,1.0
351,   6.571429E-01,   1.489796E-01,1.0
352,   6.571429E-01,   1.979592E-01,1.0
353,   6.571429E-01,   2.469388E-01,1.0
354,   6.571429E-01,   2.959184E-01,1.0
355,   6.571429E-01,   3.448980E-01,1.0
356,   6.571429E-01,   3.938776E-01,1.0
357,   6.571429E-01,   4.428571E-01,1.0
358,   6.571429E-01,   4.918367E-01,1.0
359,   6.571429E-01,   5.408163E-01,1.0
360,   6.571429E-01,   5.897959E-01,1.0
361,   6.571429E-01,   6.387755E-01,1.0
362,   6.571429E-01,   6.877551E-01,1.0
363,   6.571429E-01,   7.367347E-01,1.0
364,   6.571429E-01,   7.857143E-01,1.0
365,   6.571429E-01,   8.346939E-01,1.0
366,   6.571429E-01,   8.836735E-01,1.0
367,   6.571429E-01,   9.326531E-01,1.0
368,   6.571429E-01,   9.816327E-01,1.0
369,   6.571429E-01,   1.030612E+00,1.0
370,   6.571429E-01,   1.079592E+00,1.0
371,   6.571429E-01,   1.128571E+00,1.0
372,   6.571429E-01,   1.177551E+00,1.0
373,   6.571429E-01,   1.226531E+00,1.0
374,   6.571429E-01,   1.275510E+00,1.0
375,   6.571429E-01,   1.324490E+00,1.0
376,   6.571429E-01,   1.373469E+00,1.0
377,   6.571429E-01,   1.422449E+00,1.0
378,   6.571429E-01,   1.471429E+00,1.0
379,   6.571429E-01,   1.520408E+00,1.0
380,   6.571429E-01,   1.569388E+00,1.0
381,   6.571429E-01,   1.618367E+00,1.0
382,   6.571429E-01,   1.667347E+00,1.0
383,   6.571429E-01,   1.716327E+00,1.0
384,   6.571429E-01,   1.765306E+00,1.0
385,   6.571429E-01,   1.814286E+00,1.0
386,   6.571429E-01,   1.863265E+00,1.0
387,   6.571429E-01,   1.912245E+00,1.0
388,   6.571429E-01,   1.961224E+00,1.0
389,   6.571429E-01,   2.010204E+00,1.0
390,   6.571429E-01,   2.059184E+00,1.0
391,   6.571429E-01,   2.108163E+00,1.0
392,   6.571429E-01,   2.157143E+00,1.0
393,   6.571429E-01,   2.206122E+00,1.0
394,   6.571429E-01,   2.255102E+00,1.0
395,   6.571429E-01,   2.304082E+00,1.0
396,   6.571429E-01,   2.353061E+00,1.0
397,   6.571429E-01,   2.402041E+00,1.0
398,   6.571429E-01,   2.451020E+00,1.0
399,   6.571429E-01,   2.500000E+00,1.0
400,   7.367347E-01,   1.000000E-01,1.0
401,   7.367347E-01,   1.489796E-01,1.0
402,   7.367347E-01,   1.979592E-01,1.0
403,   7.367347E-01,   2.469388E-01,1.0
404,   7.367347E-01,   2.959184E-01,1.0
405,   7.367347E-01,   3.448980E-01,1.0
406,   7.367347E-01,   3.938776E-01,1.0
407,   7.367347E-01,   4.428571E-01,1.0
408,   7.367347E-01,   4.918367E-01,1.0
409,   7.367347E-01,   5.408163E-01,1.0
410,   7.367347E-01,   5.897959E-01,1.0
411,   7.367347E-01,   6.387755E-01,1.0
412,   7.367347E-01,   6.877551E-01,1.0
413,   7.367347E-01,   7.367347E-01,1.0
414,   7.367347E-01,   7.857143E-01,1.0
415,   7.367347E-01,   8.346939E-01,1.0
416,   7.367347E-01,   8.836735E-01,1.0
417,   7.367347E-01,   9.326531E-01,1.0
418,   7.367347E-01,   9.816327E-01,1.0
419,   7.367347E-01,   1.030612E+00,1.0
420,   7.367347E-01,   1.079592E+00,1.0
421,   7.367347E-01,   1.128571E+00,1.0
422,   7.367347E-01,   1.177551E+00,1.0
423,   7.367347E-01,   1.226531E+00,1.0
424,   7.367347E-01,   1.275510E+00,1.0
425,   7.367347E-01,   1.324490E+00,1.0
426,   7.367347E-01,   1.373469E+00,1.0
427,   7.367347E-01,   1.422449E+00,1.0
428,   7.367347E-01,   1.471429E+00,1.0
429,   7.367347E-01,   1.520408E+00,1.0
430,   7.367347E-01,   1.569388E+00,1.0
431,   7.367347E-01,   1.618367E+00,1.0
432,   7.367347E-01,   1.667347E+00,1.0
433,   7.367347E-01,   1.716327E+00,1.0
434,   7.367347E-01,   1.765306E+00,1.0
435,   7.367347E-01,   1.814286E+00,1.0
436,   7.367347E-01,   1.863265E+00,1.0
437,   7.367347E-01,   1.912245E+00,1.0
438,   7.367347E-01,   1.961224E+00,1.0
439,   7.367347E-01,   2.010204E+00,1.0
440,   7.367347E-01,   2.059184E+00,1.0
441,   7.367347E-01,   2.108163E+00,1.0
442,   7.367347E-01,   2.157143E+00,1.0
443,   7.367347E-01,   2.206122E+00,1.0
444,   7.367347E-01,   2.255102E+00,1.0
445,   7.367347E-01,   2.304082E+00,1.0
446,   7.367347E-01,   2.353061E+00,1.0
447,   7.367347E-01,   2.402041E+00,1.0
448,   7.367347E-01,   2.451020E+00,1.0
449,   7.367347E-01,   2.500000E+00,1.0
450,   8.163265E-01,   1.000000E-01,1.0
451,   8.163265E-01,   1.489796E-01,1.0
452,   8.163265E-01,   1.979592E-01,1.0
453,   8.163265E-01,   2.469388E-01,1.0
454,   8.163265E-01,   2.959184E-01,1.0
455,   8.163265E-01,   3.448980E-01,1.0
456,   8.163265E-01,   3.938776E-01,1.0
457,   8.163265E-01,   4.428571E-01,1.0
458,   8.163265E-01,   4.918367E-01,1.0
459,   8.163265E-01,   5.408163E-01,1.0
460,   8.163265E-01,   5.897959E-01,1.0
461,   8.163265E-01,   6.387755E-01,1.0
462,   8.163265E-01,   6.877551E-01,1.0
463,   8.163265E-01,   7.367347E-01,1.0
464,   8.163265E-01,   7.857143E-01,1.0
465,   8.163265E-01,   8.346939E-01,1.0
466,   8.163265E-01,   8.836735E-01,1.0
467,   8.163265E-01,   9.326531E-01,1.0
468,   8.163265E-01,   9.816327E-01,1.0
469,   8.163265E-01,   1.030612E+00,1.0
470,   8.163265E-01,   1.079592E+00,1.0
471,   8.163265E-01,   1.128571E+00,1.0
472,   8.163265E-01,   1.177551E+00,1.0
473,   8.163265E-01,   1.226531E+00,1.0
474,   8.163265E-01,   1.275510E+00,1.0
475,   8.163265E-01,   1.324490E+00,1.0
476,   8.163265E-01,   1.373469E+00,1.0
477,   8.163265E-01,   1.422449E+00,1.0
478,   8.163265E-01,   1.471429E+00,1.0
479,   8.163265E-01,   1.520408E+00,1.0
480,   8.163265E-01,   1.569388E+00,1.0
481,   8.163265E-01,   1.618367E+00,1.0
482,   8.163265E-01,   1.667347E+00,1.0
483,   8.163265E-01,   1.716327E+00,1.0
484,   8.163265E-01,   1.765306E+00,1.0
485,   8.163265E-01,   1.814286E+00,1.0
486,   8.163265E-01,   1.863265E+00,1.0
487,   8.163265E-01,   1.912245E+00,1.0
488,   8.163265E-01,   1.961224E+00,1.0
489,   8.163265E-01,   2.010204E+00,1.0
490,   8.163265E-01,   2.059184E+00,1.0
491,   8.163265E-01,   2.108163E+00,1.0
492,   8.163265E-01,   2.157143E+00,1.0
493,   8.163265E-01,   2.206122E+00,1.0
494,   8.163265E-01,   2.255102E+00,1.0
495,   8.163265E-01,   2.304082E+00,1.0
496,   8.163265E-01,   2.353061E+00,1.0
497,   8.163265E-01,   2.402041E+00,1.0
498,   8.163265E-01,   2.451020E+00,1.0
499,   8.163265E-01,   2.500000E+00,1.0
500,   8.959184E-01,   1.000000E-01,1.0
501,   8.959184E-01,   1.489796E-01,1.0
502,   8.959184E-01,   1.979592E-01,1.0
503,   8.959184E-01,   2.469388E-01,1.0
504,   8.959184E-01,   2.959184E-01,1.0
505,   8.959184E-01,   3.448980E-01,1.0
506,   8.959184E-01,   3.938776E-01,1.0
507,   8.959184E-01,   4.428571E-01,1.0
508,   8.959184E-01,   4.918367E-01,1.0
509,   8.959184E-01,   5.408163E-01,1.0
510,   8.959184E-01,   5.897959E-01,1.0
511,   8.959184E-01,   6.387755E-01,1.0
512,   8.959184E-01,   6.877551E-01,1.0
513,   8.959184E-01,   7.367347E-01,1.0
514,   8.959184E-01,   7.857143E-01,1.0
515,   8.959184E-01,   8.346939E-01,1.0
516,   8.959184E-01,   8.836735E-01,1.0
