run_id,phi,meas_phi,regul_phi,OBGNME,H01_1,H01_2,H01_3,H01_4,H01_5,H01_6,H01_7,H01_8,H01_9,H01_10,H02_1,H02_2,H02_3,H02_4,H02_5,H02_6,H02_7,H02_8,H02_9,H02_10
41,14826.9886599515,14826.9886599515,0,14826.9886599515,1,22.082,43.163,64.245,85.327,106.408,127.49,148.571,169.653,190.735,1,11,21,31,41,51,61,71,81,91
42,15530.6358824283,15530.6358824283,0,15530.6358824283,1,22.571,44.143,65.714,87.286,108.857,130.429,152,173.571,195.143,1,11,21,31,41,51,61,71,81,91
43,16250.7250356155,16250.7250356155,0,16250.7250356155,1,23.061,45.122,67.184,89.245,111.306,133.367,155.429,177.49,199.551,1,11,21,31,41,51,61,71,81,91
44,16986.9967246207,16986.9967246207,0,16986.9967246207,1,23.551,46.102,68.653,91.204,113.755,136.306,158.857,181.408,203.959,1,11,21,31,41,51,61,71,81,91
45,17739.5791772616,17739.5791772616,0,17739.5791772616,1,24.041,47.082,70.122,93.163,116.204,139.245,162.286,185.327,208.367,1,11,21,31,41,51,61,71,81,91
46,18508.6123760463,18508.6123760463,0,18508.6123760463,1,24.531,48.061,71.592,95.122,118.653,142.184,165.714,189.245,212.775,1,11,21,31,41,51,61,71,81,91
47,19293.8192960369,19293.8192960369,0,19293.8192960369,1,25.02,49.041,73.061,97.082,121.102,145.122,169.143,193.163,217.184,1,11,21,31,41,51,61,71,81,91
48,20095.482842808,20095.482842808,0,20095.482842808,1,25.51,50.02,74.531,99.041,123.551,148.061,172.571,197.082,221.592,1,11,21,31,41,51,61,71,81,91
49,20913.3142362921,20913.3142362921,0,20913.3142362921,1,26,51,76,101,126,151,176,201,226,1,11,21,31,41,51,61,71,81,91
50,6.2817922436,6.2817922436,0,6.2817922436,1,1.557,2.114,2.67,3.227,3.784,4.341,4.898,5.455,6.011,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
51,14.5842692675853,14.5842692675853,0,14.5842692675853,1,1.83,2.659,3.489,4.318,5.148,5.977,6.807,7.636,8.466,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
52,28.3246547227018,28.3246547227018,0,28.3246547227018,1,2.102,3.205,4.307,5.409,6.511,7.614,8.716,9.818,10.92,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
53,47.3167264515669,47.3167264515669,0,47.3167264515669,1,2.375,3.75,5.125,6.5,7.875,9.25,10.625,12,13.375,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
54,71.4723377696532,71.4723377696532,0,71.4723377696532,1,2.648,4.295,5.943,7.591,9.239,10.886,12.534,14.182,15.83,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
55,100.734369081424,100.734369081424,0,100.734369081424,1,2.92,4.841,6.761,8.682,10.602,12.523,14.443,16.364,18.284,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
56,135.124495064966,135.124495064966,0,135.124495064966,1,3.193,5.386,7.58,9.773,11.966,14.159,16.352,18.545,20.739,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
57,174.592815853432,174.592815853432,0,174.592815853432,1,3.466,5.932,8.398,10.864,13.33,15.795,18.261,20.727,23.193,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
58,219.115909436698,219.115909436698,0,219.115909436698,1,3.739,6.477,9.216,11.955,14.693,17.432,20.17,22.909,25.648,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
59,268.736250723603,268.736250723603,0,268.736250723603,1,4.011,7.023,10.034,13.045,16.057,19.068,22.08,25.091,28.102,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
60,323.396485775375,323.396485775375,0,323.396485775375,1,4.284,7.568,10.852,14.136,17.42,20.705,23.989,27.273,30.557,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
61,383.152821328786,383.152821328786,0,383.152821328786,1,4.557,8.114,11.67,15.227,18.784,22.341,25.898,29.455,33.011,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
62,447.996913917302,447.996913917302,0,447.996913917302,1,4.83,8.659,12.489,16.318,20.148,23.977,27.807,31.636,35.466,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
63,517.84632493812,517.84632493812,0,517.84632493812,1,5.102,9.205,13.307,17.409,21.511,25.614,29.716,33.818,37.92,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
64,592.795376370058,592.795376370058,0,592.795376370058,1,5.375,9.75,14.125,18.5,22.875,27.25,31.625,36,40.375,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
65,672.806896899699,672.806896899699,0,672.806896899699,1,5.648,10.295,14.943,19.591,24.239,28.886,33.534,38.182,42.83,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
66,757.832997353088,757.832997353088,0,757.832997353088,1,5.92,10.841,15.761,20.682,25.602,30.523,35.443,40.364,45.284,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
67,847.994778549119,847.994778549119,0,847.994778549119,1,6.193,11.386,16.58,21.773,26.966,32.159,37.352,42.545,47.739,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
68,943.189050817872,943.189050817872,0,943.189050817872,1,6.466,11.932,17.398,22.864,28.33,33.795,39.261,44.727,50.193,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
69,1043.38840355226,1043.38840355226,0,1043.38840355226,1,6.739,12.477,18.216,23.955,29.693,35.432,41.17,46.909,52.648,1,6.568,12.136,17.705,23.273,28.841,34.409,39.977,45.545,51.114
