run_id,phi,meas_phi,regul_phi,OBGNME,H01_1,H01_2,H01_3,H01_4,H01_5,H01_6,H01_7,H01_8,H01_9,H01_10,H02_1,H02_2,H02_3,H02_4,H02_5,H02_6,H02_7,H02_8,H02_9,H02_10
52,6111.26449731445,6111.26449731445,0,6111.26449731445,1,14.606,28.212,41.818,55.424,69.03,82.636,96.242,109.848,123.455,1,11,21,31,41,51,61,71,81,91
53,6334.24657368126,6334.24657368126,0,6334.24657368126,1,14.848,28.697,42.545,56.394,70.242,84.091,97.939,111.788,125.636,1,11,21,31,41,51,61,71,81,91
54,6561.44584255154,6561.44584255154,0,6561.44584255154,1,15.091,29.182,43.273,57.364,71.455,85.545,99.636,113.727,127.818,1,11,21,31,41,51,61,71,81,91
55,6792.42166424591,6792.42166424591,0,6792.42166424591,1,15.333,29.667,44,58.333,72.667,87,101.333,115.667,130,1,11,21,31,41,51,61,71,81,91
56,7027.39241015559,7027.39241015559,0,7027.39241015559,1,15.576,30.152,44.727,59.303,73.879,88.455,103.03,117.606,132.182,1,11,21,31,41,51,61,71,81,91
57,7266.44578081654,7266.44578081654,0,7266.44578081654,1,15.818,30.636,45.455,60.273,75.091,89.909,104.727,119.545,134.364,1,11,21,31,41,51,61,71,81,91
58,7509.40780872428,7509.40780872428,0,7509.40780872428,1,16.061,31.121,46.182,61.242,76.303,91.364,106.424,121.485,136.545,1,11,21,31,41,51,61,71,81,91
59,7756.36474143478,7756.36474143478,0,7756.36474143478,1,16.303,31.606,46.909,62.212,77.515,92.818,108.121,123.424,138.727,1,11,21,31,41,51,61,71,81,91
60,8007.31657526617,8007.31657526617,0,8007.31657526617,1,16.545,32.091,47.636,63.182,78.727,94.273,109.818,125.364,140.909,1,11,21,31,41,51,61,71,81,91
61,8262.35683393727,8262.35683393727,0,8262.35683393727,1,16.788,32.576,48.364,64.152,79.939,95.727,111.515,127.303,143.091,1,11,21,31,41,51,61,71,81,91
62,8521.29991124266,8521.29991124266,0,8521.29991124266,1,17.03,33.061,49.091,65.121,81.151,97.182,113.212,129.242,145.273,1,11,21,31,41,51,61,71,81,91
63,8784.39860571666,8784.39860571666,0,8784.39860571666,1,17.273,33.545,49.818,66.091,82.364,98.636,114.909,131.182,147.455,1,11,21,31,41,51,61,71,81,91
64,9051.33388182426,9051.33388182426,0,9051.33388182426,1,17.515,34.03,50.545,67.061,83.576,100.091,116.606,133.121,149.636,1,11,21,31,41,51,61,71,81,91
65,9322.36338669868,9322.36338669868,0,9322.36338669868,1,17.758,34.515,51.273,68.03,84.788,101.545,118.303,135.061,151.818,1,11,21,31,41,51,61,71,81,91
66,9597.28987937548,9597.28987937548,0,9597.28987937548,1,18,35,52,69,86,103,120,137,154,1,11,21,31,41,51,61,71,81,91
67,9876.2112494103,9876.2112494103,0,9876.2112494103,1,18.242,35.485,52.727,69.97,87.212,104.455,121.697,138.939,156.182,1,11,21,31,41,51,61,71,81,91
68,10159.231204576,10159.231204576,0,10159.231204576,1,18.485,35.97,53.455,70.939,88.424,105.909,123.394,140.879,158.364,1,11,21,31,41,51,61,71,81,91
69,10446.143776612,10446.143776612,0,10446.143776612,1,18.727,36.455,54.182,71.909,89.636,107.364,125.091,142.818,160.545,1,11,21,31,41,51,61,71,81,91
70,10737.051220774,10737.051220774,0,10737.051220774,1,18.97,36.939,54.909,72.879,90.848,108.818,126.788,144.758,162.727,1,11,21,31,41,51,61,71,81,91
71,11032.1336541884,11032.1336541884,0,11032.1336541884,1,19.212,37.424,55.636,73.848,92.061,110.273,128.485,146.697,164.909,1,11,21,31,41,51,61,71,81,91
72,11331.1427864446,11331.1427864446,0,11331.1427864446,1,19.455,37.909,56.364,74.818,93.273,111.727,130.182,148.636,167.091,1,11,21,31,41,51,61,71,81,91
73,11634.0387110018,11634.0387110018,0,11634.0387110018,1,19.697,38.394,57.091,75.788,94.485,113.182,131.879,150.576,169.273,1,11,21,31,41,51,61,71,81,91
74,11940.9295006717,11940.9295006717,0,11940.9295006717,1,19.939,38.879,57.818,76.758,95.697,114.636,133.576,152.515,171.454,1,11,21,31,41,51,61,71,81,91
75,12251.8151553841,12251.8151553841,0,12251.8151553841,1,20.182,39.364,58.545,77.727,96.909,116.091,135.273,154.455,173.636,1,11,21,31,41,51,61,71,81,91
76,12566.8110170146,12566.8110170146,0,12566.8110170146,1,20.424,39.848,59.273,78.697,98.121,117.545,136.97,156.394,175.818,1,11,21,31,41,51,61,71,81,91
77,12885.6878507821,12885.6878507821,0,12885.6878507821,1,20.667,40.333,60,79.667,99.333,119,138.667,158.333,178,1,11,21,31,41,51,61,71,81,91
78,13208.5595447938,13208.5595447938,0,13208.5595447938,1,20.909,40.818,60.727,80.636,100.545,120.455,140.364,160.273,180.182,1,11,21,31,41,51,61,71,81,91
79,13535.7453244565,13535.7453244565,0,13535.7453244565,1,21.152,41.303,61.455,81.606,101.758,121.909,142.061,162.212,182.364,1,11,21,31,41,51,61,71,81,91
80,13866.6106170782,13866.6106170782,0,13866.6106170782,1,21.394,41.788,62.182,82.576,102.97,123.364,143.758,164.152,184.545,1,11,21,31,41,51,61,71,81,91
81,14201.4707691887,14201.4707691887,0,14201.4707691887,1,21.636,42.273,62.909,83.545,104.182,124.818,145.455,166.091,186.727,1,11,21,31,41,51,61,71,81,91
82,14540.3257813805,14540.3257813805,0,14540.3257813805,1,21.879,42.758,63.636,84.515,105.394,126.273,147.152,168.03,188.909,1,11,21,31,41,51,61,71,81,91
83,14883.3011782158,14883.3011782158,0,14883.3011782158,1,22.121,43.242,64.364,85.485,106.606,127.727,148.848,169.97,191.091,1,11,21,31,41,51,61,71,81,91
84,15230.1473614547,15230.1473614547,0,15230.1473614547,1,22.364,43.727,65.091,86.455,107.818,129.182,150.545,171.909,193.273,1,11,21,31,41,51,61,71,81,91
85,15580.9884018021,15580.9884018021,0,15580.9884018021,1,22.606,44.212,65.818,87.424,109.03,130.636,152.242,173.848,195.455,1,11,21,31,41,51,61,71,81,91
86,15935.8243001042,15935.8243001042,0,15935.8243001042,1,22.848,44.697,66.545,88.394,110.242,132.091,153.939,175.788,197.636,1,11,21,31,41,51,61,71,81,91
87,16295.0053112459,16295.0053112459,0,16295.0053112459,1,23.091,45.182,67.273,89.364,111.455,133.545,155.636,177.727,199.818,1,11,21,31,41,51,61,71,81,91
88,16657.8348031135,16657.8348031135,0,16657.8348031135,1,23.333,45.667,68,90.333,112.667,135,157.333,179.667,202,1,11,21,31,41,51,61,71,81,91
89,17024.659153698,17024.659153698,0,17024.659153698,1,23.576,46.152,68.727,91.303,113.879,136.455,159.03,181.606,204.182,1,11,21,31,41,51,61,71,81,91
90,17395.6140699879,17395.6140699879,0,17395.6140699879,1,23.818,46.636,69.455,92.273,115.091,137.909,160.727,183.545,206.364,1,11,21,31,41,51,61,71,81,91
91,17770.4295900416,17770.4295900416,0,17770.4295900416,1,24.061,47.121,70.182,93.242,116.303,139.364,162.424,185.485,208.545,1,11,21,31,41,51,61,71,81,91
92,18149.2399669379,18149.2399669379,0,18149.2399669379,1,24.303,47.606,70.909,94.212,117.515,140.818,164.121,187.424,210.727,1,11,21,31,41,51,61,71,81,91
93,18532.0452017974,18532.0452017974,0,18532.0452017974,1,24.545,48.091,71.636,95.182,118.727,142.273,165.818,189.364,212.909,1,11,21,31,41,51,61,71,81,91
94,18918.9868227576,18918.9868227576,0,18918.9868227576,1,24.788,48.576,72.364,96.152,119.939,143.727,167.515,191.303,215.091,1,11,21,31,41,51,61,71,81,91
95,19309.783228013,19309.783228013,0,19309.783228013,1,25.03,49.061,73.091,97.121,121.151,145.182,169.212,193.242,217.273,1,11,21,31,41,51,61,71,81,91
96,19704.8152197424,19704.8152197424,0,19704.8152197424,1,25.273,49.545,73.818,98.091,122.364,146.636,170.909,195.182,219.455,1,11,21,31,41,51,61,71,81,91
97,20103.6037662063,20103.6037662063,0,20103.6037662063,1,25.515,50.03,74.545,99.061,123.576,148.091,172.606,197.121,221.636,1,11,21,31,41,51,61,71,81,91
98,20506.5345176166,20506.5345176166,0,20506.5345176166,1,25.758,50.515,75.273,100.03,124.788,149.545,174.303,199.061,223.818,1,11,21,31,41,51,61,71,81,91
99,20913.3142362921,20913.3142362921,0,20913.3142362921,1,26,51,76,101,126,151,176,201,226,1,11,21,31,41,51,61,71,81,91
100,11.0555092436,11.0555092436,0,11.0555092436,1,1.717,2.435,3.152,3.87,4.587,5.304,6.022,6.739,7.457,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
101,17.7149741722261,17.7149741722261,0,17.7149741722261,1,1.891,2.783,3.674,4.565,5.457,6.348,7.239,8.13,9.022,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
102,26.5656225467777,26.5656225467777,0,26.5656225467777,1,2.065,3.13,4.196,5.261,6.326,7.391,8.457,9.522,10.587,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
103,37.5664365332531,37.5664365332531,0,37.5664365332531,1,2.239,3.478,4.717,5.957,7.196,8.435,9.674,10.913,12.152,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
104,50.6812554056516,50.6812554056516,0,50.6812554056516,1,2.413,3.826,5.239,6.652,8.065,9.478,10.891,12.304,13.717,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
105,65.9098663996512,65.9098663996512,0,65.9098663996512,1,2.587,4.174,5.761,7.348,8.935,10.522,12.109,13.696,15.283,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
106,83.2148265315245,83.2148265315245,0,83.2148265315245,1,2.761,4.522,6.283,8.043,9.804,11.565,13.326,15.087,16.848,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
107,102.607389323488,102.607389323488,0,102.607389323488,1,2.935,4.87,6.804,8.739,10.674,12.609,14.543,16.478,18.413,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
108,124.068837470745,124.068837470745,0,124.068837470745,1,3.109,5.217,7.326,9.435,11.543,13.652,15.761,17.87,19.978,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
109,147.622199383011,147.622199383011,0,147.622199383011,1,3.283,5.565,7.848,10.13,12.413,14.696,16.978,19.261,21.543,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
110,173.247105739747,173.247105739747,0,173.247105739747,1,3.457,5.913,8.37,10.826,13.283,15.739,18.196,20.652,23.109,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
111,200.902359776023,200.902359776023,0,200.902359776023,1,3.63,6.261,8.891,11.522,14.152,16.783,19.413,22.043,24.674,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
112,230.661158496632,230.661158496632,0,230.661158496632,1,3.804,6.609,9.413,12.217,15.022,17.826,20.63,23.435,26.239,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
113,262.458196899734,262.458196899734,0,262.458196899734,1,3.978,6.957,9.935,12.913,15.891,18.87,21.848,24.826,27.804,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
114,296.34616601131,296.34616601131,0,296.34616601131,1,4.152,7.304,10.457,13.609,16.761,19.913,23.065,26.217,29.37,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
115,332.248085385666,332.248085385666,0,332.248085385666,1,4.326,7.652,10.978,14.304,17.63,20.957,24.283,27.609,30.935,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
116,370.26045437638,370.26045437638,0,370.26045437638,1,4.5,8,11.5,15,18.5,22,25.5,29,32.5,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
117,410.335416869201,410.335416869201,0,410.335416869201,1,4.674,8.348,12.022,15.696,19.37,23.043,26.717,30.391,34.065,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
118,452.414088388936,452.414088388936,0,452.414088388936,1,4.848,8.696,12.543,16.391,20.239,24.087,27.935,31.783,35.63,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
119,496.609981517445,496.609981517445,0,496.609981517445,1,5.022,9.043,13.065,17.087,21.109,25.13,29.152,33.174,37.196,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
120,542.827188940466,542.827188940466,0,542.827188940466,1,5.196,9.391,13.587,17.783,21.978,26.174,30.37,34.565,38.761,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
121,591.14357126393,591.14357126393,0,591.14357126393,1,5.37,9.739,14.109,18.478,22.848,27.217,31.587,35.957,40.326,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
122,641.451147210563,641.451147210563,0,641.451147210563,1,5.543,10.087,14.63,19.174,23.717,28.261,32.804,37.348,41.891,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
123,693.885893984872,693.885893984872,0,693.885893984872,1,5.717,10.435,15.152,19.87,24.587,29.304,34.022,38.739,43.457,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
124,748.380899840392,748.380899840392,0,748.380899840392,1,5.891,10.783,15.674,20.565,25.457,30.348,35.239,40.13,45.022,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
125,804.887338438464,804.887338438464,0,804.887338438464,1,6.065,11.13,16.196,21.261,26.326,31.391,36.457,41.522,46.587,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
126,863.470389543813,863.470389543813,0,863.470389543813,1,6.239,11.478,16.717,21.957,27.196,32.435,37.674,42.913,48.152,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
127,924.090302824513,924.090302824513,0,924.090302824513,1,6.413,11.826,17.239,22.652,28.065,33.478,38.891,44.304,49.717,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
128,986.820292771059,986.820292771059,0,986.820292771059,1,6.587,12.174,17.761,23.348,28.935,34.522,40.109,45.696,51.283,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
129,1051.55425689133,1051.55425689133,0,1051.55425689133,1,6.761,12.522,18.283,24.043,29.804,35.565,41.326,47.087,52.848,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
130,1118.36717348282,1118.36717348282,0,1118.36717348282,1,6.935,12.87,18.804,24.739,30.674,36.609,42.543,48.478,54.413,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
131,1187.21378020184,1187.21378020184,0,1187.21378020184,1,7.109,13.217,19.326,25.435,31.543,37.652,43.761,49.87,55.978,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
132,1258.17707433587,1258.17707433587,0,1258.17707433587,1,7.283,13.565,19.848,26.13,32.413,38.696,44.978,51.261,57.543,1,8.174,15.348,22.522,29.696,36.87,44.043,51.217,58.391,65.565
