  STREAM OBSERVATION OUTPUT
    TIME      SFR-NODE  SFR-CONCENTRATION    FLOWGW          GW-CONC
    423.4703         18       0.2745239E-02       -91.99449           0.1422730E-01
    423.4703         19       0.2853649E-02       -92.12421           0.1422762E-01
    423.4703         20       0.2961349E-02       -92.49990           0.1422735E-01
    423.4703         21       0.3068672E-02       -93.08915           0.1422657E-01
    423.4703         22       0.3175944E-02       -93.89489           0.1422518E-01
    423.4703         23       0.3283118E-02       -94.69073           0.1422273E-01
    423.4703         24       0.3389916E-02       -95.29325           0.1422156E-01
    423.4703         25       0.3495907E-02       -95.61926           0.1422058E-01
    423.4703         26       0.3600537E-02       -95.55796           0.1422076E-01
    423.4703         27       0.3703177E-02       -95.04072           0.1422217E-01
    423.4703         28       0.3803204E-02       -94.04626           0.1422476E-01
    423.4703         29       0.3899967E-02       -92.52023           0.1422880E-01
    423.4703         30       0.3992823E-02       -90.43997           0.1423372E-01
    423.4703         31       0.4081145E-02       -87.72271           0.1424302E-01
    423.4703         32       0.4164211E-02       -84.29388           0.1425304E-01
    423.4703         33       0.4241315E-02       -80.06320           0.1426591E-01
    423.4703         34       0.4311704E-02       -74.87081           0.1428305E-01
    423.4703         35       0.4374585E-02       -68.53194           0.1430570E-01
    423.4703         36       0.4429154E-02       -60.80329           0.1433638E-01
    423.4703         37       0.4474634E-02       -51.34241           0.1437929E-01
    423.4703         38       0.4510319E-02       -39.67520           0.1443810E-01
    423.4703         39       0.4537087E-02       -27.08470           0.1453004E-01
    423.4703         40       0.5286274E-02        0.000000           0.1000000E+31
    508.1643          1       0.3379140E-03       -119.3370           0.1486242E-01
    508.1643          2       0.6679053E-03       -119.5864           0.1486103E-01
    508.1643          3       0.9877432E-03       -119.1550           0.1486141E-01
    508.1643          4       0.1296171E-02       -118.2719           0.1486167E-01
    508.1643          5       0.1591732E-02       -116.8312           0.1486313E-01
    508.1643          6       0.1873239E-02       -114.8723           0.1486506E-01
    508.1643          7       0.2139817E-02       -112.4420           0.1486779E-01
    508.1643          8       0.2391080E-02       -109.6604           0.1486972E-01
    508.1643          9       0.2627123E-02       -106.6422           0.1487340E-01
